k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
10,1.0,0.25,0.5,1.9014033111184905,0.04295326210195122,"GRMGemma_scores, QwenPRM_min_scores, QwenPRM_max_scores, GRMLlama32_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores","2.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,61.0
10,1.0,0.25,1.0,-1.9110966888815095,-0.3945467378980488,"GRMGemma_scores, GRMLlama32_scores, QwenPRM_min_scores, QwenPRM_max_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,61.0
10,1.0,0.5,0.25,2.774238915600406,0.047633363072500934,"QwenPRM_min_scores, GRMGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, GRMLlama32_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0",10,61.0
10,1.0,0.5,0.5,1.048915925024332,-0.07642535762479019,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, GRMLlama32_scores, InternLM2Reward7B_scores","2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0",10,61.0
10,1.0,0.5,1.0,-2.763584074975668,-0.5139253576247902,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores","2.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,61.0
10,1.0,1.0,0.25,1.5733887454004543,-0.2562116890825177,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, GRMGemma_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, EurusPRMStage2_avg_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores","7.0, 8.0, 7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,66.0
10,1.0,1.0,0.5,-0.19896622240074224,-0.4749616890825177,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores, QwenPRM_min_scores, InternLM2Reward7B_scores","2.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0",10,66.0
10,1.0,1.0,1.0,-4.098077304378207,-0.8243728478713608,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores, QwenPRM_min_scores","2.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0",10,62.0
15,1.0,0.25,0.25,4.920830010798866,0.19522899892492768,"QwenPRM_min_scores, GRMGemma_scores, QwenPRM_max_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, GRMLlama32_scores, EurusPRMStage1_min_scores, GRM_scores, Skyworks_scores, QRM_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 8.0, 8.0, 8.0, 7.0, 7.0",15,99.0
15,1.0,0.25,0.5,1.8270800107988658,-0.038821597472091685,"GRMGemma_scores, QwenPRM_min_scores, QwenPRM_max_scores, GRMLlama32_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores, GRM_scores, Skyworks_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores","2.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 7.0, 8.0",15,99.0
15,1.0,0.25,1.0,-4.360419989201134,-0.5388215974720917,"GRMGemma_scores, GRMLlama32_scores, QwenPRM_min_scores, QwenPRM_max_scores, QwenPRM_avg_scores, EurusPRMStage1_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, GRM_scores, Skyworks_scores, QRM_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0",15,99.0
15,1.0,0.5,0.25,2.8847195961439622,0.009016391576254446,"QwenPRM_min_scores, GRMGemma_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, GRMLlama32_scores, GRM_scores, GPM_scores, Skyworks_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores","7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 8.0, 8.0, 8.0, 7.0, 7.0",15,99.0
15,1.0,0.5,0.5,-0.028103394432111795,-0.22959526166320343,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, GRMLlama32_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, GRM_scores, EurusPRMStage2_min_scores, GPM_scores, Skyworks_scores","2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 8.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,0.5,1.0,-6.2156033944321125,-0.7295952616632034,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, GRM_scores, GPM_scores, Skyworks_scores","2.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0",15,99.0
15,1.0,1.0,0.25,-0.3751325678883316,-0.4323138158051958,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, GRMGemma_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, EurusPRMStage2_avg_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, GRM_scores, GRMLlama32_scores, Skyworks_scores","7.0, 8.0, 7.0, 2.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 3.0, 8.0",15,99.0
15,1.0,1.0,0.5,-3.1787375356895273,-0.6823138158051958,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores, QwenPRM_min_scores, InternLM2Reward7B_scores, GRMLlama32_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, GRM_scores, Skyworks_scores","2.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,1.0,1.0,-9.36623753568953,-1.1823138158051958,"GRMGemma_scores, GPM_scores, QwenPRM_avg_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, EurusPRMStage1_max_scores, QwenPRM_max_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores, QwenPRM_min_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, GRM_scores, Skyworks_scores","2.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
