k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
10,1.0,0.25,0.5,6.786127986332113,0.6032447340866488,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores","32.0, 7.0, 7.0, 8.0, 7.0, 72.0, 7.0, 7.0, 70.0, 7.0"
10,1.0,0.25,1.0,6.554826360520862,0.571346124182333,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Skyworks_scores, Qwen72B_scores","7.0, 7.0, 8.0, 32.0, 7.0, 7.0, 7.0, 7.0, 8.0, 72.0"
10,1.0,0.5,0.25,6.102343307795675,0.4917041207067276,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, LDLRewardGemma_scores","32.0, 7.0, 8.0, 7.0, 7.0, 72.0, 7.0, 7.0, 70.0, 27.0"
10,1.0,0.5,0.5,5.9517260238450564,0.45763361410380515,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0"
10,1.0,0.5,1.0,5.6134286124558725,0.42912729852171017,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0"
10,1.0,1.0,0.25,4.814473413831214,0.2745619567232449,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores","32.0, 8.0, 8.0, 27.0, 7.0, 7.0, 7.0, 7.0, 72.0, 7.0"
10,1.0,1.0,0.5,4.702127734818869,0.2575349311264168,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, QwenPRM_max_scores, LDLRewardGemma_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores","32.0, 8.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 7.0, 72.0"
10,1.0,1.0,1.0,4.246583979103862,0.1479053537585278,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, Qwen72B_scores, EurusPRMStage1_min_scores","7.0, 27.0, 8.0, 7.0, 7.0, 7.0, 7.0, 32.0, 72.0, 7.0"
15,1.0,0.25,0.25,9.710686524193736,0.5299064986966164,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, DeepSeekLlama70B_verdicts, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, LDLRewardGemma_scores, QRM_scores","32.0, 7.0, 72.0, 7.0, 8.0, 7.0, 70.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 27.0, 8.0"
15,1.0,0.25,0.5,9.540274208432063,0.5190589715929167,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, QRM_scores, EurusPRMStage1_min_scores","32.0, 7.0, 7.0, 8.0, 7.0, 72.0, 7.0, 7.0, 70.0, 7.0, 8.0, 8.0, 7.0, 8.0, 7.0"
15,1.0,0.25,1.0,9.204037153256934,0.5104169962842747,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Skyworks_scores, Qwen72B_scores, ArmorRM_scores, DeepSeekLlama70B_verdicts, EurusPRMStage2_min_scores, QRM_scores, EurusPRMStage1_min_scores","7.0, 7.0, 8.0, 32.0, 7.0, 7.0, 7.0, 7.0, 8.0, 72.0, 8.0, 70.0, 7.0, 8.0, 7.0"
15,1.0,0.5,0.25,8.151891227013484,0.37626808681966156,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, LDLRewardGemma_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, SkyT1_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 72.0, 7.0, 7.0, 70.0, 27.0, 8.0, 8.0, 7.0, 7.0, 32.0"
15,1.0,0.5,0.5,7.9630023381245945,0.35651500039990847,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts, Skyworks_scores, ArmorRM_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, SkyT1_verdicts","32.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0, 8.0, 8.0, 7.0, 7.0, 32.0"
15,1.0,0.5,1.0,7.509650221997436,0.3364107702032959,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, DeepSeekLlama70B_verdicts, URM_scores","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0, 8.0, 7.0, 7.0, 70.0, 8.0"
15,1.0,1.0,0.25,5.566014946183201,0.13279987802544632,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, SkyT1_verdicts, EurusPRMStage2_avg_scores, ArmorRM_scores, Llama-3.3-70B-Instruct_verdicts","32.0, 8.0, 8.0, 27.0, 7.0, 7.0, 7.0, 7.0, 72.0, 7.0, 70.0, 32.0, 7.0, 8.0, 70.0"
15,1.0,1.0,0.5,5.359314268381349,0.11066710145816078,"DeepSeekQwen32B_verdicts, GPM_scores, URM_scores, QwenPRM_max_scores, LDLRewardGemma_scores, EurusPRMStage2_max_scores, EurusPRMStage1_min_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, DeepSeekLlama70B_verdicts, SkyT1_verdicts, EurusPRMStage2_avg_scores, ArmorRM_scores, EurusPRMStage1_avg_scores","32.0, 8.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 7.0, 72.0, 70.0, 32.0, 7.0, 8.0, 7.0"
15,1.0,1.0,1.0,4.732703761618204,0.053641564280331844,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, Qwen72B_scores, EurusPRMStage1_min_scores, ArmorRM_scores, Skyworks_scores, EurusPRMStage1_avg_scores, SkyT1_verdicts, DeepSeekLlama70B_verdicts","7.0, 27.0, 8.0, 7.0, 7.0, 7.0, 7.0, 32.0, 72.0, 7.0, 8.0, 8.0, 7.0, 32.0, 70.0"
