k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
10,1.0,0.5,1.0,5.591462019488712,0.4210786739449658,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0"
10,1.0,1.0,0.25,4.637134382977668,0.1956767134047605,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, SkyT1_verdicts","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0"
10,1.0,1.0,0.5,4.509973889150507,0.17592362698500744,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, SkyT1_verdicts","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0"
10,1.0,1.0,1.0,4.31298049964768,0.14376394381984076,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, EurusPRMStage1_avg_scores","7.0, 27.0, 8.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0, 7.0"
15,1.0,0.25,0.25,9.68888107392252,0.5327605819697525,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, Qwen72B_scores, GPM_scores, QwenPRM_min_scores, DeepSeekLlama70B_verdicts, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, LDLRewardGemma_scores, SkyT1_verdicts","32.0, 7.0, 72.0, 8.0, 7.0, 70.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 27.0, 32.0"
15,1.0,0.25,0.5,9.508667385403154,0.5172669149489866,"DeepSeekQwen32B_verdicts, EurusPRMStage2_avg_scores, GPM_scores, QwenPRM_min_scores, Qwen72B_scores, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, DeepSeekLlama70B_verdicts, QwenPRM_avg_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage2_min_scores, EurusPRMStage1_min_scores, LDLRewardGemma_scores","32.0, 7.0, 8.0, 7.0, 72.0, 7.0, 7.0, 7.0, 70.0, 7.0, 8.0, 8.0, 7.0, 7.0, 27.0"
15,1.0,0.25,1.0,9.166202703750372,0.5063535190205783,"QwenPRM_min_scores, EurusPRMStage2_avg_scores, GPM_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, QwenPRM_avg_scores, Qwen72B_scores, Skyworks_scores, ArmorRM_scores, DeepSeekLlama70B_verdicts, EurusPRMStage2_min_scores, EurusPRMStage1_min_scores, QRM_scores","7.0, 7.0, 8.0, 32.0, 7.0, 7.0, 7.0, 7.0, 72.0, 8.0, 8.0, 70.0, 7.0, 7.0, 8.0"
15,1.0,0.5,0.25,8.179223159206572,0.39342155065339546,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts, Skyworks_scores, ArmorRM_scores, SkyT1_verdicts, EurusPRMStage1_min_scores, QwenPRM_avg_scores","32.0, 8.0, 7.0, 7.0, 7.0, 72.0, 7.0, 7.0, 27.0, 70.0, 8.0, 8.0, 32.0, 7.0, 7.0"
15,1.0,0.5,0.5,7.990334270317685,0.3891005629990745,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_min_scores, Qwen72B_scores, LDLRewardGemma_scores, DeepSeekLlama70B_verdicts, Skyworks_scores, ArmorRM_scores, SkyT1_verdicts, EurusPRMStage1_min_scores, QwenPRM_avg_scores","32.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 72.0, 27.0, 70.0, 8.0, 8.0, 32.0, 7.0, 7.0"
15,1.0,0.5,1.0,7.499266637490085,0.36114003318882926,"QwenPRM_min_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, DeepSeekQwen32B_verdicts, InternLM2Reward7B_scores, LDLRewardGemma_scores, Qwen72B_scores, Skyworks_scores, ArmorRM_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, DeepSeekLlama70B_verdicts, SkyT1_verdicts","7.0, 8.0, 7.0, 7.0, 7.0, 32.0, 7.0, 27.0, 72.0, 8.0, 8.0, 7.0, 7.0, 70.0, 32.0"
15,1.0,1.0,0.25,5.366641136639705,0.12759503393578858,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, SkyT1_verdicts, DeepSeekLlama70B_verdicts, EurusPRMStage1_avg_scores, ArmorRM_scores, EurusPRMStage1_min_scores, Skyworks_scores","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0, 70.0, 7.0, 8.0, 7.0, 8.0"
15,1.0,1.0,0.5,5.1777522477508136,0.1226567623308503,"DeepSeekQwen32B_verdicts, GPM_scores, EurusPRMStage2_avg_scores, LDLRewardGemma_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, Qwen72B_scores, QwenPRM_min_scores, SkyT1_verdicts, EurusPRMStage1_avg_scores, ArmorRM_scores, EurusPRMStage1_min_scores, DeepSeekLlama70B_verdicts, Skyworks_scores","32.0, 8.0, 7.0, 27.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0, 7.0, 8.0, 7.0, 70.0, 8.0"
15,1.0,1.0,1.0,4.849955578450192,0.03777253998569896,"QwenPRM_min_scores, LDLRewardGemma_scores, GPM_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_max_scores, Qwen72B_scores, InternLM2Reward7B_scores, DeepSeekQwen32B_verdicts, EurusPRMStage1_avg_scores, SkyT1_verdicts, ArmorRM_scores, EurusPRMStage1_min_scores, Skyworks_scores, DeepSeekLlama70B_verdicts","7.0, 27.0, 8.0, 7.0, 7.0, 7.0, 72.0, 7.0, 32.0, 7.0, 32.0, 8.0, 7.0, 8.0, 70.0"
