k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB,num_verifiers,total_param_GB
10,1.0,1.0,1.0,-5.463468400291669,-0.995075623575408,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores","2.0, 7.0, 7.0, 8.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0",10,62.0
15,1.0,0.25,0.25,3.457416415385802,0.11898377740776894,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, GPM_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_min_scores, EurusPRMStage1_avg_scores, GRM_scores, QRM_scores","2.0, 7.0, 7.0, 3.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,0.25,0.5,0.3594471649956485,-0.13101622259223106,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_min_scores, EurusPRMStage1_avg_scores, GRM_scores, QRM_scores","2.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,0.25,1.0,-5.830211120711255,-0.6310162225922311,"GRMGemma_scores, GRMLlama32_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, InternLM2Reward7B_scores, QwenPRM_avg_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage2_min_scores, EurusPRMStage1_avg_scores, GPM_scores, GRM_scores, QRM_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0",15,99.0
15,1.0,0.5,0.25,1.7110099863489856,-0.10724411793407346,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,0.5,0.5,-1.4114448437787326,-0.35724411793407346,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, GRMLlama32_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 7.0, 7.0, 8.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,0.5,1.0,-7.6084542304401435,-0.8572441179340735,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, QwenPRM_avg_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 3.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,1.0,0.25,-1.97136222011245,-0.5633735775292245,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, InternLM2Reward7B_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores, GRMLlama32_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,1.0,0.5,-5.095481529674903,-0.8133735775292245,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
15,1.0,1.0,1.0,-11.312671566283015,-1.3133735775292243,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_avg_scores, GPM_scores, EurusPRMStage2_max_scores, GRMLlama32_scores, QwenPRM_min_scores, EurusPRMStage1_min_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_avg_scores, EurusPRMStage2_min_scores, QRM_scores, GRM_scores","2.0, 7.0, 7.0, 8.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0",15,99.0
